#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message";"Id";"Version";"Qualifiers";"Level";"Task";"Opcode";"Keywords";"RecordId";"ProviderName";"ProviderId";"LogName";"ProcessId";"ThreadId";"MachineName";"UserId";"TimeCreated";"ActivityId";"RelatedActivityId";"ContainerLog";"MatchedQueryIds";"Bookmark";"LevelDisplayName";"OpcodeDisplayName";"TaskDisplayName";"KeywordsDisplayNames";"Properties"
"La actualizaci?n de Windows  no se pudo instalar debido a un error: 2149842967 """". (L?nea de comandos: ""wusa.exe ""c:\program files (x86)\microsoft office\root\integration\windows6.1-kb2999226-x86.msu"" /quiet /norestart"")";"3";"0";;"2";"0";"0";"-9223372036854775808";"1604";"Microsoft-Windows-WUSA";"09608c12-c1da-4104-a6fe-b959cf57560a";"Setup";"4956";"2624";"SCTEST04.aitsoporte.local";"S-1-5-18";"26/03/2018 08:15:32 a.m.";;;"e:\sync\scripting\powershell\visoreventos\setup.evtx";"System.UInt32[]";"System.Diagnostics.Eventing.Reader.EventBookmark";"Error";"Informaci?n";;"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]";"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"La actualizaci?n de Windows  no se pudo instalar debido a un error: 2359302 """". (L?nea de comandos: ""wusa.exe ""c:\program files (x86)\microsoft office\root\integration\windows6.1-kb2999226-x64.msu"" /quiet /norestart"")";"3";"0";;"2";"0";"0";"-9223372036854775808";"1603";"Microsoft-Windows-WUSA";"09608c12-c1da-4104-a6fe-b959cf57560a";"Setup";"4304";"3604";"SCTEST04.aitsoporte.local";"S-1-5-18";"26/03/2018 08:15:30 a.m.";;;"e:\sync\scripting\powershell\visoreventos\setup.evtx";"System.UInt32[]";"System.Diagnostics.Eventing.Reader.EventBookmark";"Error";"Informaci?n";;"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]";"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"La actualizaci?n de Windows  no se pudo instalar debido a un error: 2149842967 """". (L?nea de comandos: ""wusa.exe ""c:\program files (x86)\microsoft office\root\integration\windows6.1-kb2999226-x86.msu"" /quiet /norestart"")";"3";"0";;"2";"0";"0";"-9223372036854775808";"1602";"Microsoft-Windows-WUSA";"09608c12-c1da-4104-a6fe-b959cf57560a";"Setup";"3296";"3252";"SCTEST04.aitsoporte.local";"S-1-5-18";"21/03/2018 09:02:43 a.m.";;;"e:\sync\scripting\powershell\visoreventos\setup.evtx";"System.UInt32[]";"System.Diagnostics.Eventing.Reader.EventBookmark";"Error";"Informaci?n";;"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]";"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"La actualizaci?n de Windows  no se pudo instalar debido a un error: 2359302 """". (L?nea de comandos: ""wusa.exe ""c:\program files (x86)\microsoft office\root\integration\windows6.1-kb2999226-x64.msu"" /quiet /norestart"")";"3";"0";;"2";"0";"0";"-9223372036854775808";"1601";"Microsoft-Windows-WUSA";"09608c12-c1da-4104-a6fe-b959cf57560a";"Setup";"2012";"1400";"SCTEST04.aitsoporte.local";"S-1-5-18";"21/03/2018 09:02:40 a.m.";;;"e:\sync\scripting\powershell\visoreventos\setup.evtx";"System.UInt32[]";"System.Diagnostics.Eventing.Reader.EventBookmark";"Error";"Informaci?n";;"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]";"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"La actualizaci?n de Windows  no se pudo instalar debido a un error: 2149842967 """". (L?nea de comandos: ""wusa.exe ""c:\program files (x86)\microsoft office\root\integration\windows6.1-kb2999226-x86.msu"" /quiet /norestart"")";"3";"0";;"2";"0";"0";"-9223372036854775808";"1600";"Microsoft-Windows-WUSA";"09608c12-c1da-4104-a6fe-b959cf57560a";"Setup";"2056";"2108";"SCTEST04.aitsoporte.local";"S-1-5-18";"02/03/2018 06:11:32 p.m.";;;"e:\sync\scripting\powershell\visoreventos\setup.evtx";"System.UInt32[]";"System.Diagnostics.Eventing.Reader.EventBookmark";"Error";"Informaci?n";;"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]";"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"La actualizaci?n de Windows  no se pudo instalar debido a un error: 2359302 """". (L?nea de comandos: ""wusa.exe ""c:\program files (x86)\microsoft office\root\integration\windows6.1-kb2999226-x64.msu"" /quiet /norestart"")";"3";"0";;"2";"0";"0";"-9223372036854775808";"1599";"Microsoft-Windows-WUSA";"09608c12-c1da-4104-a6fe-b959cf57560a";"Setup";"1780";"2176";"SCTEST04.aitsoporte.local";"S-1-5-18";"02/03/2018 06:11:31 p.m.";;;"e:\sync\scripting\powershell\visoreventos\setup.evtx";"System.UInt32[]";"System.Diagnostics.Eventing.Reader.EventBookmark";"Error";"Informaci?n";;"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]";"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"La actualizaci?n de Windows  no se pudo instalar debido a un error: 2149842967 """". (L?nea de comandos: ""wusa.exe ""c:\program files (x86)\microsoft office\root\integration\windows6.1-kb2999226-x86.msu"" /quiet /norestart"")";"3";"0";;"2";"0";"0";"-9223372036854775808";"1598";"Microsoft-Windows-WUSA";"09608c12-c1da-4104-a6fe-b959cf57560a";"Setup";"4824";"4356";"SCTEST04.aitsoporte.local";"S-1-5-18";"19/02/2018 11:41:05 a.m.";;;"e:\sync\scripting\powershell\visoreventos\setup.evtx";"System.UInt32[]";"System.Diagnostics.Eventing.Reader.EventBookmark";"Error";"Informaci?n";;"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]";"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"La actualizaci?n de Windows  no se pudo instalar debido a un error: 2359302 """". (L?nea de comandos: ""wusa.exe ""c:\program files (x86)\microsoft office\root\integration\windows6.1-kb2999226-x64.msu"" /quiet /norestart"")";"3";"0";;"2";"0";"0";"-9223372036854775808";"1597";"Microsoft-Windows-WUSA";"09608c12-c1da-4104-a6fe-b959cf57560a";"Setup";"3448";"4676";"SCTEST04.aitsoporte.local";"S-1-5-18";"19/02/2018 11:41:03 a.m.";;;"e:\sync\scripting\powershell\visoreventos\setup.evtx";"System.UInt32[]";"System.Diagnostics.Eventing.Reader.EventBookmark";"Error";"Informaci?n";;"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]";"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Se cambi? el paquete KB2952664 correctamente al estado Instalado.";"2";"0";;"0";"0";"0";"-9223372036854775808";"1596";"Microsoft-Windows-Servicing";"bd12f3b8-fc40-4a61-a307-b7a013a069c1";"Setup";"952";"268";"SCTEST04.aitsoporte.local";"S-1-5-18";"15/02/2018 09:42:40 a.m.";;;"e:\sync\scripting\powershell\visoreventos\setup.evtx";"System.UInt32[]";"System.Diagnostics.Eventing.Reader.EventBookmark";"Informaci?n";"Informaci?n";;"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]";"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Se debe reiniciar para poder cambiar el paquete KB2952664 al estado Instalado.";"4";"0";;"0";"0";"0";"-9223372036854775808";"1595";"Microsoft-Windows-Servicing";"bd12f3b8-fc40-4a61-a307-b7a013a069c1";"Setup";"5472";"1624";"SCTEST04.aitsoporte.local";"S-1-5-18";"15/02/2018 09:16:20 a.m.";;;"e:\sync\scripting\powershell\visoreventos\setup.evtx";"System.UInt32[]";"System.Diagnostics.Eventing.Reader.EventBookmark";"Informaci?n";"Informaci?n";;"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]";"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
